Stratum_type,Stratum,n,Metric,g0,g1,g1_relative_reduction_pct
task,art,3366,model_predicted_team_mse,0.5704827200315833,0.5064101616043309,11.231288201631267
task,art,3366,plugin_observed_outcome_rce,0.11461025698158055,0.11624806892453955,-1.4290273716271524
task,sarcasm,2840,model_predicted_team_mse,0.5436539252341261,0.494973912579133,8.954228121139561
task,sarcasm,2840,plugin_observed_outcome_rce,0.09893985340615123,0.12478281115263012,-26.11986662279833
task,cities,1363,model_predicted_team_mse,0.5566354146118817,0.5043528969780564,9.392596349673454
task,cities,1363,plugin_observed_outcome_rce,0.1498149758889122,0.07473893069972487,50.11251027724773
task,census,882,model_predicted_team_mse,0.6843931703878732,0.6604293782041807,3.501465710143081
task,census,882,plugin_observed_outcome_rce,0.15430540637307555,0.06196658312447776,59.84159947406082
pre_conf_tercile,low,2877,model_predicted_team_mse,1.149740150723645,1.0276080698214451,10.622581182829023
pre_conf_tercile,mid,2827,model_predicted_team_mse,0.4429064852202071,0.4344422638264073,1.911062871339865
pre_conf_tercile,high,2747,model_predicted_team_mse,0.09707017922820305,0.07121861271515964,26.631831442557406
